symbol,profit
MRF,5394.852603580308
SHREECEM,2398.844271570124
BAJFINANCE,2195.8480678919086
ABBOTINDIA,1898.0701935034704
ADANIENT,1879.3630980752573
HEROMOTOCO,1864.6023228701388
MCX,1864.341470034236
GODREJPROP,1748.847714759242
PAGEIND,1712.640619534337
OFSS,1628.1643068605515
HAL,1528.7105365221628
ESCORTS,1503.6314033517533
BOSCHLTD,1477.1135497438736
ABB,1454.8213400425475
NAVINFLUOR,1439.7316768821338
LALPATHLAB,1430.165236061477
APOLLOHOSP,1401.156698486543
TRENT,1371.4284751069504
NAUKRI,1325.0409827087697
ATUL,1268.2302012903765
Nifty Bank,1254.673046839809
PERSISTENT,1135.6967251960027
POLYCAB,1124.1354771228316
COFORGE,1108.708203017275
MGL,1098.58847522295
CUMMINSIND,1001.8193879763209
BALKRISIND,996.6527345764092
LTTS,980.234292734308
Nifty 50,
